Name,Holding Type,Shares,Settlement Price,Market Value,Coupon Rate,Client Sector,Client Country,Moody's Rating,S&P Rating,Maturity,
Western Midstream Partners LP,Common Stock,-17660,34.1,-602206,,Oil & Gas Producers,United States,,BBB-,,
Plains GP Holdings LP,Common Stock,-34856,18.21,-634727.76,,Oil & Gas Producers,United States,,,,
"Lowe's Cos., Inc.",Common Stock,-2810,227.99,-640651.9,,Retail - Discretionary,United States,A1,A-,,
"Amazon.com, Inc.",Common Stock,-3858,175,-675150,,E-Commerce Discretionary,United States,WR,AA-,,
"ONEOK, Inc.",Common Stock,-8647,79.12,-684150.64,,Oil & Gas Producers,United States,Baa2,BBB,,
"Alnylam Pharmaceuticals, Inc.",Common Stock,-5010,143.95,-721189.5,,Biotech & Pharma,United States,,,,
MPLX LP,Common Stock,-17554,41.8,-733757.2,,Oil & Gas Producers,United States,,,,
Novo Nordisk A/S,Common Stock,-6106,128.31,-783460.86,,Biotech & Pharma,Denmark,,A,,
Targa Resources Corp.,Common Stock,-6974,114.06,-795454.44,,Oil & Gas Producers,United States,,,,
Fncl 6/24 Tba Cfd,Contract for Difference,264602000,97.11,-925059.17,,Agency Forward,United States,,,,
"Taiwan Semiconductor Manufacturing Co., Ltd.",Common Stock,-8638,137.34,-1186342.92,,Semiconductors,Taiwan,,A+,,
Enterprise Products Partners LP,Common Stock,-43801,28.08,-1229932.08,,Oil & Gas Producers,United States,,BBB+,,
Energy Transfer LP,Common Stock,-104290,15.73,-1640481.7,,Oil & Gas Producers,United States,,,,
"Williams Cos., Inc.",Common Stock,-43155,38.36,-1655425.8,,Oil & Gas Producers,United States,Baa3,BBB,,
"Apple, Inc.",Common Stock,-16104,170.33,-2742994.32,,Technology Hardware,United States,WR,AA+,,
U.S. Treasury Bond,Government Debt,-8258000,98.56,-8138968.36,4.5,Sovereign,United States,,,2033-11-15T06:00:00,
Grayscale Bitcoin Trust BTC,Mutual Funds,-270301,52.51,-14193505.51,,Unclassifiable,United States,,,,
MARKIT CDX HY S42 06/29 ICE,Contract for Difference,639365000,-5.84,-37333801.08,5,Bond Index Funds,United States,,,2029-06-20T05:00:00,
U.S. Treasury Bond,Government Debt," $(45,728,000.00)",94.7,-43304059.32,4,Sovereign,United States,,,2034-02-15T06:00:00,
U.S. Treasury Note,Government Debt," $(116,971,000.00)",97.97,-114592733.9,4.25,Sovereign,United States,,,2029-02-28T06:00:00,
,0," $274,286,964.15 ",,274286964.2,,Cash & Equivalents,Cash & Equivalents,,,,
,,,,,,,,,,,
,," $(170,957,000.00)",-0.623277889,,,,,,,,
